,구분,이름,브랜드,설명,가격,평점,하트
91,Unisex,르페르소나 LP04 골든 젬 오 드 퍼퓸,르페르소나,"잊을 수 없는 무도회의 한 장면, 달콤한 바닐라와 무화과가 깊은 인상을 남기고 유유히 사라지는 순간의 향기","104,000원",4.0,
92,Unisex,르페르소나 LP03 우든 페이스 오 드 퍼퓸,르페르소나,"거칠고 각진 나무토막의 표면을 매끄럽고 둥글게 조각하듯, 마음까지 감싸 안아주는 산뜻하고 편안한 나무냄새","104,000원",4.5,
93,Unisex,톰포드 로스트 체리 오 드 퍼퓸,톰포드,"몸을 한껏 달아오르게 하는 통카빈과 대단히 뇌쇄적인 체리, 이 밤을 더욱 길고 짙게 만드는 유혹","365,000원",5.0,
94,Unisex,프라고나르 에뚜알 30-200ml,프라고나르,"미세먼지 없이, 날씨까지 완벽한 주말처럼 상쾌한 달콤함이 가득한 풋사과 정원의 향기","71,500원",4.9,
95,Unisex,세르주루텐 상탈 마제스퀼 오 드 퍼퓸,세르주루텐,샌달 우드의 숨겨진 마스터피스- 샌달 나무의 하얀 속살을 인센스 향기가 감싸안는 신비로움,"174,500원",5.0,
96,Unisex,바이레도 벨벳 헤이즈 오 드 퍼퓸,바이레도,"조용한 벤치, 으깨지는 코코넛을 바라보는 순간 깊은 감회에 잠기게 만드는 향기","197,000원",5.0,
97,Unisex,바이레도 일레븐스 아워 오 드 퍼퓸,,"바이레도 한정판, 신비한 향신료와 술의 달큰함이 끼쳐오는 이국적인 오리엔탈풍 향기","197,000원",0.0,
98,Unisex,프로소디 런던 리솜 린든 오 드 퍼퓸 50ml,프로소디 런던,호수에 뛰어든 멜론의 달콤함이 연두빛 물안개를 피워내는 상큼함,"134,000원",5.0,
99,Unisex,조말론 오렌지 블로썸 코롱,조말론,영국시골 오렌지 농장에서 이슬을 맞은채 굴러다니는 오렌지 껍질향기,"81,800원",4.8,
100,Unisex,조말론 인센스 앤 세드라 코롱 인텐스,조말론,"삭막한 초원에 단비가 그치고 난 뒤, 슴슴하게 올라오는 마른 풀들과 나무들의 아로마틱한 산뜻함","158,000원",4.0,
101,Unisex,톰포드 베네시안 베르가못 오 드 퍼퓸,톰포드,"고급스러운 스웨이드 질감의 앰버가 야경으로 깔린 밤, 지적인 가드니아와 베르가못이 연출하는 도시의 밤 향기","305,000원",0.0,
102,Unisex,르라보 상탈 33 오 드 퍼퓸 50ml,르라보,짙은 고동나무와 푸릇한 파피루스가 울창하게 심어져 있는 오스트레일리아의 숲속,"220,000원",4.9,
103,Unisex,르라보 어나더 13 오 드 퍼퓸 50ml,르라보,바닐라와 동물적인 암브레트 씨드에서 주는 우디한 살내음,"220,000원",5.0,
104,Unisex,딥디크 오듀엘르 오 드 뚜왈렛 50/100ml,딥티크,따뜻한 햇살이 내려앉는 마당의 흙과 나무 그리고 바닐라가 어우러진 아늑한 향기,"128,000원",4.8,
105,Unisex,딥디크 로드네롤리 오 드 뚜왈렛 100ml,딥티크,밝은 햇살을 머금은 비터 오렌지가 싱그럽게 흔들리는 네롤리의 푸른 잎사귀에 스며드는 순간,"175,000원",5.0,
106,Unisex,불리 오 트리쁠 포레드 코미 75ml,불리 1803,"겨울 끝무렵, 한기가 닿은 쌉싸래한 풀내음이 가득 담긴 숲의 향기","170,000원",0.0,
107,Unisex,프라고나르 플러도랑지,프라고나르,"오후 6시의 석양이 오렌지 꽃에 닿았을 때, 딱 그 온기만큼 편안하게 퍼지는 자연의 향기","71,500원",5.0,
108,Unisex,아쿠아 디 파르마 아란치아 디 카프리 오 드 뚜왈렛,아쿠아 디 파르마,지중해 햇살에 산뜻함을 터트린 천혜향을 닮은 오렌지 비누향기,"58,000원",4.9,
109,Unisex,아쿠아 디 파르마 피코 디 아말피 오 드 뚜왈렛,아쿠아 디 파르마,이탈리아 포지타노의 청량함이 연상되는 깨끗하고 청정한 무화과의 아삭함,"65,000원",4.9,
110,Unisex,에르메스 운 자르뎅 수르뜨와 오 드 뚜왈렛,에르메스,"싱그러움과 거친 자연의 모습이 그대로 담긴, 에르메스 본사 꼭대기의 정원 향기","80,000원",4.8,
111,Unisex,메모 케두 오드퍼퓸 75ml,메모,노곤하고 따뜻한 들깨가루 오일의 깊고 에센셜한 향기,"263,000원",5.0,
112,Unisex,더 디퍼런트 컴퍼니 수블림 발키스 오 드 퍼퓸,더 디퍼런트 컴퍼니,비오는날 정원의 흙바닥에서 고고하게 있는 생장미와 블랙커런트의 향기,"168,000원",4.6,
113,Unisex,메모 오리엔탈 레더 오 드 퍼퓸 75ml,메모,"라벤더 빛 물안개, 흔들리는 바람에 피어난 장미 뒤로 밤하늘을 가득 수놓는 파츌리의 수수한 내음","263,000원",5.0,
114,Unisex,불리 오 트리쁠 베르켄 오렌지 블라썸 75ml,불리 1803,"갓 따낸 오렌지 나무 잎사귀에 레몬즙을 뿌린듯, 무더운 여름날 단비 같이 싱그런 오렌지 꽃망울","170,000원",0.0,
115,Unisex,오리베 데저트랜드 오 드 퍼퓸 75ml,오리베,"소나무의 청량함이 건조하게 피어나는 곳, 사막. 그 담담함에 대한 향기","128,870원",0.0,
116,Unisex,오리베 코트 다쥐르 오 드 퍼퓸 75ml,오리베,"청량한 레몬이 시클라멘 꽃 위에 누워 파도를 타듯, 일렁이는 햇살 속에 젖어드는 낭만의 향기","128,870원",4.5,
117,Unisex,톰포드 블랙 오키드 오 드 퍼퓸 50ml,톰포드,"톰포드 베스트셀러, 럼에 담긴 플럼의 다크한 보랏빛이 연출하는 퇴폐적인 관능미","160,000원",4.9,
118,Unisex,톰포드 로즈프릭 오 드 퍼퓸 50ml,톰포드,"장미의 이중성, 퇴폐미와 외로움을 그린 향기","305,000원",5.0,
119,Unisex,불가리 오 파퓨메 오떼블랑 오드 코롱,불가리,"고요한 새벽안개 길의 끝에서 이슬과 함께 느껴질 법한 화이트 티의 정수, 깨끗함의 정점","119,000원",4.5,
120,Unisex,에르메스 운 자르뎅 아프레 라 무쏭 오 드 뚜왈렛,에르메스,"갑자기 내린 여우비에, 촉촉한 꽃내음과 물내음 섞인 메론향기가 피어났던 한적한 프랑스 정원","145,000원",0.0,
