품목별,항목,단위,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월,2022.06 월
휴대용시계 및 큰시계,수출액[천달러],천달러,5341,8038,3431,2986,11466,7094,4735,8693,5343,7459,8494,5253,5348,5522,44869,9232,7566,6382,9721,17060,8826,6162,9070,7976,8120,7287,8639,6941,7661,8689
휴대용시계 및 큰시계,수입액[천달러],천달러,83178,78674,62790,54814,39474,64850,62646,75781,69929,75111,80460,96161,61265,83193,98852,84645,84102,98227,105721,80839,100243,81230,96806,97184,71290,78364,88785,78763,95607,78787
달리 분류되지 않은 잡제품,수출액[천달러],천달러,1306920,1430700,1534389,1364071,1457186,1592603,1622978,1609922,1729537,1396642,1513976,1582679,1389641,1421977,1844036,1604614,1642675,1973470,1919633,2025012,2414970,1861430,2201224,2111226,1905100,2055217,2215765,2162156,2282136,2043391
달리 분류되지 않은 잡제품,수입액[천달러],천달러,901734,744501,863873,897712,984570,1007585,881010,951300,963707,985449,1013254,1139529,1013047,1039984,1164842,1183351,1114742,1214946,1236620,1211357,1194337,1159109,1199595,1372370,1283036,990103,1239874,1220917,1187872,1061404
무기 및 실탄,수출액[천달러],천달러,98821,40815,32264,72855,78202,88122,177225,92930,118266,91205,54678,97958,106661,45904,75766,148883,34190,127401,54766,34381,147957,79787,105719,138984,43295,140128,65714,43388,199624,45428
무기 및 실탄,수입액[천달러],천달러,33349,49528,48934,12081,147285,75620,13074,16355,84392,50475,13126,59183,10449,12511,30905,19608,17865,38921,10127,14735,11596,66266,8987,51307,34014,4186,10725,55304,18737,5854
인쇄물,수출액[천달러],천달러,16880,17618,21071,18690,17295,24872,29072,18047,24966,26837,132719,50899,20715,27537,127705,31935,34462,40516,36887,29143,30042,31256,32807,41345,26863,23907,35360,36475,33054,39417
인쇄물,수입액[천달러],천달러,26192,22084,21542,18515,18310,19987,23165,25307,21952,21778,27957,27461,27385,23619,29990,28983,28867,29210,34717,28111,24577,23594,32113,34808,30083,21944,24710,24738,24037,21954
달리 명시되지않은 플라스틱제의 물품,수출액[천달러],천달러,299508,311423,351476,306386,254147,287521,335085,285845,360356,334121,353255,384294,343338,323731,395645,361785,346157,383963,388646,346089,364351,367157,376076,392285,411395,348495,432855,406303,401156,358292
달리 명시되지않은 플라스틱제의 물품,수입액[천달러],천달러,207996,147258,227566,226775,212082,229925,231433,212832,227965,236844,254219,267545,267422,244222,279451,289116,266029,272792,274526,277818,283659,264622,287353,309211,295108,251298,301196,275784,300517,288413
"유모차,장난감,게임 및 운동용품",수출액[천달러],천달러,30433,31236,33837,25572,21922,25342,32170,26068,33531,35879,35091,44833,31971,33347,39828,39185,39659,42814,40268,38038,44949,44203,49315,47899,37616,41662,47368,42137,45273,45526
"유모차,장난감,게임 및 운동용품",수입액[천달러],천달러,185960,123135,175371,216161,178345,225010,195798,188165,213609,242063,231282,258814,222283,217257,275042,282702,235474,250700,244602,235844,249720,252514,282024,295874,267812,232655,253903,299568,280070,280610
달리 명시되지 않은 사무 및 문구용품,수출액[천달러],천달러,20669,19359,22213,18889,16243,18206,17336,15513,18578,18504,18037,19797,21328,17832,20066,20993,18399,20355,21654,18385,20653,18678,18910,23004,20456,17628,20816,19580,21668,20109
달리 명시되지 않은 사무 및 문구용품,수입액[천달러],천달러,22797,17250,21879,21087,19296,18525,18716,17681,18183,16829,21176,24624,23840,21150,25113,23270,24104,24156,21157,21665,20370,22636,22907,27781,24991,19876,25682,24089,25038,21477
예술품 수집가의 수집물 및 골동품,수출액[천달러],천달러,3058,2646,3664,3453,2838,28305,3118,2386,9001,3941,8009,7229,12533,4316,12363,23445,5965,6569,15754,6424,57838,6845,5443,12440,,,,,,
