date,star,text,name
2022-06-20,5,술술 잘넘어가고 엄청 달콤하네요 많이달아요참고하시길,천년주가 전주모주
2022-06-09,4,용량이 커서 마음에 듭니다,천년주가 전주모주
2022-06-11,5,맛있쪙여 또구매 ㅋㅋㅋ,천년주가 전주모주
2022-05-26,5,빠른배송과 제품이 너무 좋아요 너무 부드럽구 목넘김이 깔끔해요재구매의사있어요,천년주가 전주모주
2022-05-11,5,배송 빠르고 상태좋아요 맛있네요,천년주가 전주모주
2022-04-26,2,맛이이상해요전통모주보다알콜도수가낮고묽어서그런거같습니다,천년주가 전주모주
2022-05-10,5,부드럽네요 좀더 걸쭉한 버전은 없을까요 아쉽,천년주가 전주모주
2022-05-08,4,맛있어요생강계피맛 좋아하시는 분들은 닥입니다,천년주가 전주모주
2022-04-29,5,음료수 같애요 ㅎㅎ맛이 좋아서 잘 마시겠습니다,천년주가 전주모주
2022-04-12,4,전에 먹어본 모주랑은 맛이 다르지만 그래도 꽤 괜찮게먹었습니다,천년주가 전주모주
2022-03-11,5,기대하고 있습니다 믿고 마셔보겠습니다,천년주가 전주모주
2022-03-07,4,잘먹겠습니다 감사합니다,천년주가 전주모주
2022-02-18,5,상품이 좋네요,천년주가 전주모주
2022-02-17,5,너무 맛있어요 더 많이 살걸 후회되네요 ㅎㅎ,천년주가 전주모주
2022-01-19,5,넘 맛있네요  휴게음식점인데 주류판매가 안되어 모주 팔려고 주문해서 먹어봤어요 ㅋㅋ,천년주가 전주모주
2022-01-07,5,맛있습니다 그거면 되죠,천년주가 전주모주
2021-12-17,5,아주 맛이좋고 유통기간도 여유있어요,천년주가 전주모주
2022-01-03,5,할머니가 드시고 싶어해서 사드렸는데 좋아하시네요,천년주가 전주모주
2021-12-12,4,술보다는 음료에 가까워요 ㅎㅎ달콤하고 맛이 좋네요,천년주가 전주모주
2021-12-11,5,잘먹고잇습니다 재구매의사잇음,천년주가 전주모주
2021-10-13,5,어째 산미가 강한데요 신맛이 좀 있네요 전주식당에서 사먹는 모주맛이랑 좀 달라요,천년주가 전주모주
2021-10-16,5,맛있네요 많이파세요,천년주가 전주모주
2021-09-15,5,워미 서울까지 바로 담날 겁나빠르게 보내주네요이맛도좋고 감칠남,천년주가 전주모주
2021-10-11,5,먹어보고맛있다고하셔서 선물보내드렸어요,천년주가 전주모주
2021-08-27,5,알콜함량이 낮고 성분이 건강에 좋은 성분이라 만족합니다 배송도좋아요,천년주가 전주모주
2021-09-06,5,전주에서 먹던 그맛 그대로에요,천년주가 전주모주
2021-08-31,3,예전에먹엇던맛이 아니어서 조금아쉬웟어요ㅠ,천년주가 전주모주
2021-08-07,5,잘 받았습니다 500미리 두 개들이인 줄 알았더니 1200미리 하나네요 사진에 두 병으로 되어 있어 그리 생각했나 봅니다 많이 파세요,천년주가 전주모주
2021-09-08,5,빠른 배송 감사 합니다,천년주가 전주모주
2021-08-26,5,엄마가 모주를 좋아하셔서 구매했어요  포장도 깔끔하고 좋네여 ,천년주가 전주모주
2022-11-11,5,가성비가 좋아 요  맛있어요,천년주가 전주모주
2022-10-28,5,아주 달달하이 좋네요,천년주가 전주모주
2022-10-23,5,술못먹는 분도 잘드세요 1도라 부담없어요,천년주가 전주모주
2022-11-02,5,술을 못먹는지라 막걸리맛 비슷한 모주를 자주먹는대 맛있고 건강한 맛입니다,천년주가 전주모주
2022-09-27,5,감사합니다 맛있어요 맘에 들어요 잘 먹겠습니다,천년주가 전주모주
2022-09-27,5,처음 구매하여 먹어봤는데 왜 아버지가 모주 모주 했는지 알 것 같네요처음에는 안맞는거 같더니 계속 먹다 보니까 맛있네요,천년주가 전주모주
2022-08-30,3,전주에서 한옥마을에서 마셧던 모주와 다르네요 색깔이 연하고 맛도 연하네요,천년주가 전주모주
2022-09-19,5,너무너무 맛있어요 또 먹고싶어서요 ㅋㅋ,천년주가 전주모주
2022-08-20,5,달달하고 알콜이 거의 없어서 음료수같아요,천년주가 전주모주
2022-06-23,5,맛있고 좋아요 재구매 의사있음,천년주가 전주모주
2022-02-01,5,선물한건데 배송 예상보다는 늦었지만받는분이 만족하시네요,천년주가 전주모주
2022-01-03,5,잘 받았습니다추운 겨울 따뜻하게 뎁혀 먹으면 딱이네요 달작지근하니 입에 칙칙 감겨요,천년주가 전주모주
2022-01-09,5,늘 잘먹고있어요 많이파세요,천년주가 전주모주
2022-01-07,5,감사합니다수고하세여잘마실께여,천년주가 전주모주
2021-11-26,5,아주 잘먹고 있어요 최고에요,천년주가 전주모주
2021-09-09,5,모주 너무 좋아요 아버지 떄문에 구매 했지만 제가 더 먹내요 ㅋ,천년주가 전주모주
2022-11-15,5,맛있어요 너무맛있어요,천년주가 전주모주
2022-11-29,5,한 잔 하고 싶은데 다음날이 부담스러울 때 맛있는 술을 먹고 싶을 때 딱 좋습니다,천년주가 전주모주
2022-11-08,5,술을 못마시는 나에게 딱달달하니 맛있어요,천년주가 전주모주
2022-10-12,5,전주가서 모주 먹고 반해서 ㅋㅋ 이렇게 많이 사게될줄은 몰랐어요 신랑이 집에서 반주할때 모주 통 갖다 놓고 아주 맛있게 마시네요 옆에있는 저도 먹고싶은데 임산부라 정말 한방울 맛만 봤어요 출산 순풍하고 얼른 마셔보고 싶은 맛이에요 한방차 맛 너무 ㅠㅠ 먹고싶어요,천년주가 전주모주
2022-11-14,5,음료처럼 잘마시고 있습니다,천년주가 전주모주
2022-11-04,5,시원하게 마시면좋아요,천년주가 전주모주
2022-10-03,5,좀 싱거운듯 하나 맛있게 잘 먹고 있어요,천년주가 전주모주
2022-10-21,5,유통기한 1년에 포장도 잘되어서 오네요,천년주가 전주모주
2022-10-12,4,막걸리 맛이 많이 나며 약간의 걸쭉함도 있어요제조회사마다 다른것 같네요,천년주가 전주모주
2022-09-14,5,알콜도 적어서 부담이없고 오히려 건강한 맛넘 맛있어요ㅎㅎ 술 땡기면 소주 쪼끔 섞어 먹어요 ㅎ,천년주가 전주모주
2022-09-14,5,아주맛있고 유통기한도 좋고숙취해소에도 좋아요,천년주가 전주모주
2022-10-06,5,맛있어요 배송도 빨라요,천년주가 전주모주
2022-09-16,5,술을안먹어서 대신 시켰는대 한약맛도 나고 맛있습니다 많이 파세요,천년주가 전주모주
2022-08-23,5,정말 맛있네요추가구매 예정 100프로입니다많이파세요,천년주가 전주모주
